,Vertex Cover,Vertex Cover nodes
0,0.0461,5
1,0.0557,11
2,0.0757,17
3,0.084,23
4,0.0958,29
5,0.1131,2
6,0.1228,8
7,0.1295,14
8,0.1371,20
9,0.1458,26
10,0.1617,3
11,0.1714,9
12,0.1799,15
13,0.1901,21
14,0.1942,27
15,0.2022,4
16,0.2101,10
17,0.2222,16
18,0.2338,22
19,0.2396,28
20,0.2623,0
21,0.2663,1
22,0.2699,6
23,0.274,7
24,0.2945,12
25,0.3056,13
26,0.3135,18
27,0.3137,19
28,0.32713333333333333,24
29,0.3283,25
